Major,Area,ID
전자과,Science,KMJ
분석화학,Science,KSK
한국민속무용,Arts,KSI
응용생명과학,Science,KMJ
건설시스템공학,Engeneering,KTY
상담심리학,Social studies,KDK
지식재산학,Business,KSH
구조미초질공학,Engeneering,KSJ
응용생명과학,Science,KSH
아동가족학,Social studies,KYO
수의생명공학,Engeneering,KJH
응용생명과학,Science,KTY
문화콘텐츠,Social studies,KHY
해양생명과학,Science,KHS
한국민속무용,Arts,NSJ
해양식품공학,Engeneering,PNH
수의생명공학,Engeneering,PSJ
한국민속무용,Arts,PEH
해양생명과학,Science,PHS
해양생명과학,Science,SJO
해양식품공학,Engeneering,SSK
지식재산학,Business,SK
수의생명공학,Engeneering,YCW
응용생명과학,Science,OKJ
나노신소재융합공학,Engeneering,LDH
환경공학,Engeneering,LJY
항공우주시스템공학,Engeneering,LHD
해양식품공학,Engeneering,LHJ
응용생명과학,Science,JKE
해양식품공학,Engeneering,JYK
자동차공학,Engeneering,JWH
해양생명과학,Science,JJI
기술경영학,Business,JKH
환경공학,Engeneering,CSW
응용생명과학,Science,CAY
회계학,Business,CYL
동역학및제어공학,Engeneering,HTH
분석화학,Science,HSK
상담심리학,Social studies,HYJ
빅데이터,Science,HJH
해양식품공학,Engeneering,HSK
기술경영학,Business,HJH
